iter	RMSE
0	2.086058439
1	2.050831578
2	2.020788604
3	1.995596292
4	1.973768709
5	1.955122306
6	1.939456787
7	1.926150639
8	1.913932025
9	1.903676109
10	1.895161421
11	1.88786017
12	1.881266919
13	1.875253598
14	1.870532667
15	1.865905547
16	1.862157789
17	1.858275949
18	1.855379014
19	1.852146561
20	1.849190346
21	1.846623967
22	1.844295268
23	1.842160819
24	1.840226834
25	1.838502071
26	1.836843756
27	1.835225863
28	1.833806937
29	1.832270733
30	1.83112828
31	1.829776027
32	1.828404242
33	1.827380716
34	1.826167022
35	1.825266661
36	1.824361
37	1.823191786
38	1.822458761
39	1.821457168
40	1.820719145
41	1.819917444
42	1.818982735
43	1.818271066
44	1.817603938
45	1.817050097
46	1.816382521
47	1.815625759
48	1.81489609
49	1.814468569
50	1.813643491
51	1.81295046
52	1.812505264
53	1.811955491
54	1.811378886
55	1.81093154
56	1.810371334
57	1.810046303
58	1.809557706
59	1.809016717
60	1.808587521
61	1.808224407
62	1.807804366
63	1.807241083
64	1.806850453
65	1.80658687
66	1.806139249
67	1.805784027
68	1.805247611
69	1.804905395
70	1.804571788
71	1.804199361
72	1.803875786
73	1.803524115
74	1.803308134
75	1.802742817
76	1.80232847
77	1.801967925
78	1.801729807
79	1.801375945
80	1.800983929
81	1.800699927
82	1.800532113
83	1.800243749
84	1.799974106
85	1.799727141
86	1.79955317
87	1.799423252
88	1.799198364
89	1.798748161
90	1.798443591
91	1.798165946
92	1.797810237
93	1.797587783
94	1.797370974
95	1.797155113
96	1.796864144
97	1.796750712
98	1.796471774
99	1.796267558
100	1.796085339
101	1.795884348
102	1.795691938
103	1.795381974
104	1.795167193
105	1.794920256
106	1.794785929
107	1.794666971
108	1.794530273
109	1.79428187
110	1.794148241
111	1.794033203
112	1.793808271
113	1.793597321
114	1.793396683
115	1.793169718
116	1.793050941
117	1.792874943
118	1.792750861
119	1.792580119
120	1.792392698
121	1.792251918
122	1.79218503
123	1.791852101
124	1.791760194
125	1.791497553
126	1.791379412
127	1.791171684
128	1.79102224
129	1.790875429
130	1.790713941
131	1.790585855
132	1.79040231
133	1.790311134
134	1.79017997
135	1.790113695
136	1.789811166
137	1.78952516
138	1.789425364
139	1.789348125
140	1.789279516
141	1.789122719
142	1.789024512
143	1.788954682
144	1.788738842
145	1.78852263
146	1.78841604
147	1.788159646
148	1.787926372
149	1.787751252
150	1.787676244
151	1.787576921
152	1.787470909
153	1.787290674
154	1.787173234
155	1.787056364
156	1.786826461
157	1.786611401
158	1.786533175
159	1.786454543
160	1.786326152
161	1.786191582
162	1.786135307
163	1.78593187
164	1.785755517
165	1.785645993
166	1.785494588
167	1.785403796
168	1.785318191
169	1.785265464
170	1.785157469
171	1.785092161
172	1.78492461
173	1.784772623
174	1.784672388
175	1.784572263
176	1.784501162
177	1.784353988
178	1.784301002
179	1.784158545
180	1.784122121
181	1.784020464
182	1.783868285
183	1.783760551
184	1.783690342
185	1.783558576
186	1.783433153
187	1.783366395
188	1.7832476
189	1.78310812
190	1.783039618
191	1.78295517
192	1.782877535
193	1.7827739
194	1.782671647
195	1.782600065
196	1.782521317
197	1.782427889
198	1.782371206
199	1.782289038
200	1.782194673
201	1.782068981
202	1.782001074
203	1.781908255
204	1.78181387
205	1.781718439
206	1.781655491
207	1.781568665
208	1.781462006
209	1.781365054
210	1.781295791
211	1.781226756
212	1.781134243
213	1.781072141
214	1.781002751
215	1.780924395
216	1.780892068
217	1.780816078
218	1.780758591
219	1.780706424
220	1.780565472
221	1.780487212
222	1.780441689
223	1.780393504
224	1.780327211
225	1.780264734
226	1.78022447
227	1.780176452
228	1.780103903
229	1.780044542
230	1.779976616
231	1.779948149
232	1.779834391
233	1.779757777
234	1.779668313
235	1.779455166
236	1.779387623
237	1.779324997
238	1.779254381
239	1.779069261
240	1.779000545
241	1.778884006
242	1.778795829
243	1.778667812
244	1.778611704
245	1.778527915
246	1.778485411
247	1.778428544
248	1.778348511
249	1.778270211
250	1.77820268
251	1.778172737
252	1.778110242
253	1.778066454
254	1.778013802
255	1.777956399
256	1.77783255
257	1.777760021
258	1.777709851
259	1.777682275
260	1.777566923
261	1.777528162
262	1.777488531
263	1.777431285
264	1.777405327
265	1.777379136
266	1.777289784
267	1.777250206
268	1.777180202
269	1.777123931
270	1.777066268
271	1.777008254
272	1.776962005
273	1.776930591
274	1.776866082
275	1.776829044
276	1.77678905
277	1.776734564
278	1.7766788
279	1.776611673
280	1.776552427
281	1.776503905
282	1.776476484
283	1.776338501
284	1.776301974
285	1.776260692
286	1.776216627
287	1.776194129
288	1.776145365
289	1.776106573
290	1.77608738
291	1.776031654
292	1.775988162
293	1.775891259
294	1.775863364
295	1.775821376
296	1.775758045
297	1.77572487
298	1.775680327
299	1.775661419
300	1.775610784
301	1.775557015
302	1.775440076
303	1.775400398
304	1.775362576
305	1.77529041
306	1.775254732
307	1.775210931
308	1.775160109
309	1.775137483
310	1.775089212
311	1.77503856
312	1.774992201
313	1.774939284
314	1.774889267
315	1.774841105
316	1.774798281
317	1.774766365
318	1.774710133
319	1.774669279
320	1.774612232
321	1.774579732
322	1.774554254
323	1.774501788
324	1.774466791
325	1.774423261
326	1.77440167
327	1.774366903
328	1.774265615
329	1.774165193
330	1.774124616
331	1.774027089
332	1.774007757
333	1.773972053
334	1.773931762
335	1.773839391
336	1.773791317
337	1.773759499
338	1.773728261
339	1.773692261
340	1.773659048
341	1.773630131
342	1.773593316
343	1.773551855
344	1.773528627
345	1.773498024
346	1.77342828
347	1.77339239
348	1.773344071
349	1.773301095
350	1.773287853
351	1.773243597
352	1.7732296
353	1.773200153
354	1.773175527
355	1.773143814
356	1.773109312
357	1.773037577
358	1.773018932
359	1.772990934
360	1.772948181
361	1.772927268
362	1.772897875
363	1.772848148
364	1.772829791
365	1.772793657
366	1.77274997
367	1.772718133
368	1.772683798
369	1.772656085
370	1.772629243
371	1.772594151
372	1.7725755
373	1.772556559
374	1.772518502
375	1.772500606
376	1.772466441
377	1.772433321
378	1.772400316
379	1.772228253
380	1.772214945
381	1.772150904
382	1.772134747
383	1.772097785
384	1.772059428
385	1.77204083
386	1.772004796
387	1.77197591
388	1.771955975
389	1.771929122
390	1.771897503
391	1.771871115
392	1.771835659
393	1.771810316
394	1.771783287
395	1.771716207
396	1.771695861
397	1.771595933
398	1.771566633
399	1.771522509
400	1.771497045
401	1.771450361
402	1.771422571
403	1.771406873
404	1.771383268
405	1.7713535
406	1.771320883
407	1.771291637
408	1.771261751
409	1.771239772
410	1.771207211
411	1.771137201
412	1.771106964
413	1.77109324
414	1.771056722
415	1.771030554
