iter	Passed	Remaining
0	67	675957
1	140	703357
2	205	685654
3	268	670242
4	331	663243
5	393	656165
6	454	648943
7	515	643942
8	579	643527
9	643	642797
10	705	640290
11	767	638881
12	830	637692
13	892	636636
14	956	636405
15	1018	635346
16	1081	634872
17	1140	632672
18	1203	632332
19	1266	631972
20	1328	631144
21	1390	630880
22	1451	629827
23	1516	630303
24	1577	629428
25	1637	628035
26	1696	626536
27	1756	625723
28	1818	625089
29	1880	625016
30	1942	624694
31	2002	623753
32	2062	623038
33	2124	622639
34	2183	621719
35	2243	620855
36	2301	619767
37	2363	619505
38	2420	618213
39	2483	618339
40	2542	617527
41	2603	617186
42	2665	617204
43	2724	616471
44	2784	615922
45	2842	615183
46	2900	614197
47	2963	614340
48	3030	615350
49	3087	614348
50	3148	614165
51	3210	614280
52	3271	614038
53	3336	614539
54	3398	614557
55	3459	614370
56	3521	614244
57	3578	613320
58	3639	613284
59	3701	613247
60	3759	612623
61	3820	612373
62	3880	612059
63	3939	611647
64	3999	611329
65	4058	610834
66	4122	611111
67	4183	611038
68	4242	610666
69	4302	610331
70	4362	610044
71	4423	609975
72	4483	609678
73	4543	609483
74	4603	609198
75	4664	609146
76	4725	608989
77	4787	609024
78	4850	609109
79	4914	609395
80	4974	609155
81	5034	608985
82	5091	608341
83	5153	608391
84	5215	608419
85	5276	608262
86	5333	607711
87	5390	607119
88	5449	606889
89	5514	607170
90	5576	607177
91	5637	607157
92	5694	606652
93	5754	606476
94	5816	606406
95	5876	606219
96	5938	606306
97	5995	605808
98	6058	605959
99	6120	605910
100	6182	605925
101	6254	606931
102	6317	607000
103	6374	606588
104	6435	606461
105	6496	606408
106	6558	606364
107	6618	606171
108	6679	606077
109	6741	606110
110	6803	606133
111	6863	605957
112	6925	605933
113	6987	605923
114	7045	605618
115	7109	605819
116	7170	605721
117	7231	605649
118	7291	605463
119	7352	605333
120	7413	605293
121	7474	605214
122	7532	604866
123	7594	604885
124	7655	604807
125	7720	604980
126	7780	604841
127	7840	604718
128	7902	604722
129	7967	604883
130	8028	604864
131	8093	605020
132	8154	604985
133	8215	604854
134	8273	604584
135	8336	604641
136	8397	604548
137	8456	604343
138	8518	604308
139	8578	604140
140	8637	603949
141	8700	604007
142	8760	603857
143	8821	603768
144	8880	603595
145	8943	603651
146	9004	603557
